"date","fragility_index","fragility_regime","future_drawdown_21","stress_event_21"
2020-03-09,1,"High",-0.182215666222519,1
2020-03-16,0.826910890442292,"High",-0.0649947639773066,0
2020-03-17,0.677916203144343,"High",-0.112891508675968,1
2020-03-18,0.788863785822894,"High",-0.0655791627808598,0
2025-04-09,0.666210254079893,"High",-0.0633225408213173,0
2025-04-10,0.692898365458933,"High",-0.0203973375103421,0
