"date","XLC","XLY","XLP","XLE","XLF","XLV","XLI","XLK","XLB","XLU","XLRE"
2018-06-20,0.0123331729002198,0.00473009112588718,0.000978972129950684,0.00440534964658346,-0.00256262316894729,0.0021190613226274,0.000682997137522179,0.00209805843541622,-0.00325376283880496,0.000796590422227794,0.0107359679508074
2018-06-21,-0.00614761409630127,-0.00714874010375688,0.00195461520789975,-0.0186892344704797,-0.00293696198249371,-0.00577869742261061,-0.0126338925748488,-0.0077140729441525,-0.0106914783989356,0.0033788096510956,0.00594949084817387
2018-06-22,0.0043671623943311,-0.00170540280285536,0.00816744452097229,0.0197545911729491,-0.00479095550468234,0.00448427765359316,0.00344862613107999,-0.00324298793562816,0.0144579505381492,0.00692039426947932,0.00870406173325078
2018-06-25,-0.0208134058220861,-0.0219786345475979,0.00502377143766086,-0.0202978644855292,-0.0107706464992217,-0.00922664594746703,-0.0127514011961152,-0.0209815754426903,-0.0156725334283956,0.0164158783694885,-0.00247918668714187
2018-06-26,0.0016566583646429,0.00713689461802325,-0.00424892424160994,0.0125500430478147,-0.00336641150746919,-0.0030946333209414,0.00375900400695439,0.00403083638472923,0.00381157537590138,0.00116257738978698,0.00526064805743909
2018-06-27,-0.00875963630666643,-0.0130312565190334,-0.00213102363144602,0.0133209964763132,-0.0124411031831033,-0.00849946593249307,-0.00809215135661212,-0.0137414896950108,-0.00311740272069327,0.00482856149959332,-0.00278146137029722
2018-06-28,0.00993008583059574,0.00782094231742603,0,-0.00132405742798358,0.00868729699117976,0.00132173964674287,0.00139973803562032,0.0121600780910618,0.00380854953768406,-0.00038516563629365,0.00985512863548443
2018-06-29,-0.00121065098642159,0.00173968932619495,-0.00058243301001637,0.00620815834289123,0,0.00203918260017399,0.00209621340350363,-0.000431975634546777,0.00345020211467206,0.0015407091095021,0.00244852944855634
2018-07-02,0.00623909277403012,0.00137150571636591,-0.00583857177309177,-0.014858211392494,0.00487706505086827,0.00311013530675375,0.00223143106042656,0.0088849114249201,-0.00535254776419203,0.00709550487670629,-0.00582529586869951
2018-07-03,-0.0123144309251297,-0.00503777545897677,0.00233966731091995,0.00626192365649825,-0.00902268437673426,0.00238607037751937,-0.00320917794052011,-0.0119121984873969,-0.00173267789613041,0.00286248997146998,0.00582529586869951
2018-07-05,0.0151196952697616,0.00494644527150534,0.013731785550025,-0.00106294676009266,0.00226354384160832,0.0103138589818048,0.00487902108097327,0.0140504431015542,0.00863413725919848,0.0053210353355162,0.0130602168281073
2018-07-06,0.0156826934192136,0.00782726875330919,0.00306882195691838,0.00609736928005677,0.00488606441107553,0.0142860177062838,0.00347059266505312,0.0116064486306939,0.00497386477001438,0.00774091006372668,0.00421598432915493
2018-07-09,0.00569598421658979,0.0118963805690226,-0.00383723035692984,0.0148232080581159,0.0226147927589726,0.00729795345866702,0.0183995724347481,0.00757033374860017,0.00885692702688612,-0.0313299869452819,-0.00935863742872955
2018-07-10,-0.000411654568643005,0.0021477148780038,0.0118480526556319,0.00739448509764795,-0.0036724708503213,0.0038015442052961,0.0031247231171454,0.0023718603946179,0.00844329207755656,0.00946416295134034,0.00484113478424364
2018-07-11,-0.00135268977174663,-0.00232705282856172,-0.00323485345020336,-0.0214250625580483,-0.00479432550786951,-0.00796535151912003,-0.0165480272187049,-0.00390928599561446,-0.0169581752627317,0.00899437082775645,-0.00302312115399817
2018-07-12,0.015573701590482,0.00660884010751817,-0.00133489836219347,0.00171532014731257,0.00184654184625499,0.0110650559481131,0.0116529770760554,0.0156831195793137,0.00239164628966826,0.000761606266577175,0.00241898802228846
