"date","sector_dispersion","cross_sectional_volatility","rolling_avg_correlation","pca_concentration","residual_stress_score","spy_return","qqq_return","iwm_return","tlt_return","gld_return","vxx_return","sector_dispersion_z","cross_sectional_volatility_z","rolling_avg_correlation_z","pca_concentration_z","residual_stress_score_z","vxx_return_z","fragility_score_raw","fragility_index","fragility_regime","future_drawdown_21","stress_event_21","high_fragility_alert"
2021-05-17,0.00898787512690371,0.0116201918518121,0.451017154699931,0.516798848879988,0.00898787512690371,-0.00254776907743981,-0.00608472894454781,0.00135637723029447,-0.00211751130986126,0.011572105937363,0.0322423447001619,-0.114323380635091,-0.666875141038977,-1.14104445477326,-1.08618015187987,-0.114323380635091,0.820508909716351,-0.38370626654099,0.159867689562069,"Low",-0.0112150088303856,0,0
2021-05-18,0.0076672319600228,0.011696426967662,0.454547848802034,0.519324168985062,0.0076672319600228,-0.00865288032881217,-0.00677361291667467,-0.00761974004014832,-0.00256196033025269,0.00194428120598111,0.0144425277624824,-0.423289337071042,-0.655335814541685,-1.10816541115087,-1.05881230694811,-0.423289337071042,0.42437975164235,-0.540752075856734,0.140623631744115,"Low",-0.00262204731154925,0,0
2021-05-19,0.00812362002938968,0.0117166431490651,0.455156231943146,0.519485674031642,0.00812362002938968,-0.00262549089841713,0.00114765914931336,-0.0077241756800932,-0.00242153437234904,0.000685381962990839,0.0459017227020677,-0.311774691422488,-0.651184575144306,-1.09864806280312,-1.05280754547228,-0.311774691422488,1.11778077805953,-0.384734798034192,0.159741655511183,"Low",0.00993059873788349,0,0
2021-05-20,0.00683434786014239,0.0116768187333124,0.467200694176911,0.531149739784201,0.00683434786014239,0.0107005472242374,0.019158627603284,0.00663077003196566,0.00819504100426638,0.00455687179574227,-0.0573389202369752,-0.620213410107688,-0.655502472062422,-0.997083862344849,-0.942097663314195,-0.620213410107688,-1.15765167289069,-0.832127081804588,0.104919161274013,"Low",-0.000818597618908234,0,0
2021-05-21,0.00468751094600548,0.0115579196661948,0.474185491379133,0.536175514907289,0.00468751094600548,-0.000818932852899579,-0.00554992982494262,0.00259490743172286,0.00320106897774775,0.000454469168424509,-0.0128352618604337,-1.13715690994826,-0.671487260877045,-0.935928617989032,-0.891524698099339,-1.13715690994826,-0.173186419440477,-0.824406802717068,0.105865187772767,"Low",0.00322336864308248,0,0
2021-05-24,0.00627812438059626,0.011588503153619,0.475273953237862,0.537180523923022,0.00627812438059626,0.0101427032187411,0.0166791058353821,0.00647965277871432,0.00369746745193389,0.00175948748771493,-0.0453386811268546,-0.750368487117074,-0.667628661092114,-0.922783173230404,-0.877947335579833,-0.750368487117074,-0.885903933453596,-0.809166679598349,0.107732679886866,"Low",-0.00690059925497533,0,0
2021-05-25,0.00737272758113806,0.0115224267917957,0.47874511591805,0.539693617895777,0.00737272758113806,-0.00222125824609165,0.00138250202676815,-0.00971279705332151,0.00922063067307732,0.00903190351437466,-0.000795407152516248,-0.479601968851234,-0.678328743280309,-0.889793457981778,-0.850119691033402,-0.479601968851234,0.0942152859623856,-0.547205090672595,0.139832893100673,"Low",-0.00469221723650814,0,0
2021-05-26,0.00461768377800215,0.0111755580782002,0.44980209977061,0.513863522698648,0.00461768377800215,0.00198270018343827,0.00347765769584107,0.018481894117695,-0.0017224126407962,-0.00174356781866702,-0.0489227766932627,-1.14197314972329,-0.732632105567602,-1.12843949742106,-1.09123154238536,-1.14197314972329,-0.962140456684027,-1.03306498358411,0.0802966602565614,"Low",-0.0066636591250453,0,0
2021-05-27,0.0070092621692738,0.0110158149233425,0.440404735597664,0.50672664483971,0.0070092621692738,0.00052467470846107,-0.00374809134203868,0.0102450464920967,-0.00403055934368624,0.000394018989291034,-0.0496819735443115,-0.554374416747291,-0.761699305661653,-1.20421654063161,-1.15601266101946,-0.554374416747291,-0.971101942463587,-0.866963213878483,0.100650416105295,"Low",-0.00718470087943024,0,0
2021-05-28,0.00303372298344112,0.010699372953708,0.415931336811021,0.487096150533138,0.00303372298344112,0.00178701848113771,0.00314951324366497,-0.000665088828472271,-0.00158769652353463,0.00376308763385236,0.0156843444860302,-1.51496963632583,-0.818745486450175,-1.40918796200582,-1.34222002921577,-1.51496963632583,0.462342126581261,-1.02295843729036,0.0815350948385731,"Low",-0.00895729586559224,0,0
2021-06-01,0.0145489968734983,0.0107755982182316,0.402759706024516,0.475340781747951,0.0145489968734983,-0.000881119858947343,-0.00332996896381754,0.0112887620754591,-0.000223997893459504,-0.00269457324805344,0.0236376667364251,1.27768873426398,-0.815168483104344,-1.51845481193874,-1.4532699189284,1.27768873426398,0.635733295246459,-0.0992970750328456,0.194718584018834,"Low",-0.00808368363589285,0,0
2021-06-02,0.00812169448655947,0.0106442838451855,0.396515903194213,0.468018883613777,0.00812169448655947,0.00157134047310503,0.00195125567936305,0.00118315884328712,0.00231233711808798,0.00487852696310398,-0.0262347003935917,-0.282710992452041,-0.848543582941262,-1.56879567993345,-1.52193938911558,-0.282710992452041,-0.461712226216617,-0.827735477185164,0.105457299117856,"Low",-0.00964109795520007,0,0
2021-06-03,0.00606190074163648,0.0104806789041781,0.390777637833171,0.458911085361652,0.00606190074163648,-0.00371816371752764,-0.010460469882525,-0.00840022403087115,-0.00376055291856137,-0.0197724208646655,0.0183228539759037,-0.776092619975056,-0.891594644766238,-1.61516866500852,-1.60874887425132,-0.776092619975056,0.513705857439339,-0.858998594422809,0.101626383550532,"Low",-0.00595192719800963,0,0
2021-06-04,0.00609490381394229,0.0102238238811526,0.360443541367911,0.434631465944106,0.00609490381394229,0.00910424580252656,0.0168274462086817,0.00431884945027949,0.013601797653032,0.0107256332646557,-0.0542090935821866,-0.762249477015055,-0.957514998322372,-1.87651220183614,-1.84623835656297,-0.762249477015055,-1.07714786504839,-1.21365206263333,0.0581679055604605,"Low",-0.0149609129544979,0,0
2021-06-07,0.00616696609414967,0.0101662395486962,0.365712849026037,0.439485292071475,0.00616696609414967,-0.000970659444623934,0.00297567624979322,0.0133232676325408,-0.0030786712852704,0.00399961920961545,-0.0181328168986026,-0.738732892567256,-0.993278568461268,-1.82525293409553,-1.79353603468253,-0.738732892567256,-0.288407974823966,-1.06299021619963,0.0766296862113569,"Low",-0.0140043112692108,0,0
